programming:VariableDeclaration;NOUN_PHRASES_AMOUNT;FLESCH_KINCAID_GRADE;VIDEOID;VIDEO_AVERAGE_COLORFULNESS;VIDEO_AVERAGE_BRIGHTNESS;VIDEO_SIZE;PHRASES_AMOUNT;VIDEO_DIFFICULT_WORDS;programming:Array;VIDEO_AVERAGE_LIGHT_EXPOSURE;SPEECH_DISPLAY_WORDS_RATIO;FLESCH_READING_EASE;VIDEO_WORDS_COUNT;VIDEO_ASPECT_RATIO;VIDEO_DOMINANT_COLOR;programming:Interface;AUTOMATED_READABILITY_INDEX;WORD_AMOUNT;FLESCH_KINCAID_VIDEO_GRADE;programming:Inheritance;VIDEO_DURATION;programming:Encapsulation;programming:WhileLoop;programming:If;WORDS_PER_MINUTE_WHOLE_VIDEO;VIDEO_AVERAGE_HUE;EASY_VIDEO_READ;programming:ForLoop;programming:Object;VIDEO_PHRASES_COUNT;WORDS_PER_MINUTE;programming:ExceptionHandling;programming:Polymorphism;WORDS_PER_MINUTE_WHOLE;AUTOMATED_VIDEO_READABILITY_INDEX;DIFFICULT_WORDS_AMOUNT;VIDEO_AVERAGE_SATURATION;programming:Class;score
0.0;43.0;7.7;1536.0;41.427;1.0;1404.0;57.0;71.0;0.0;177.002;0.223;76.25;258.0;1.6;1658.009;0.0;8.4;1156.0;6.3;0.0;6.8;0.0;0.0;0.0;37.903;35.543;63.76;0.0;1.0;34.0;170.792;0.0;0.0;170.27;12.9;96.0;37.802;0.0;intermediate
1.0;21.0;7.2;5643.0;37.239;1.0;1500.0;24.0;8.0;0.0;208.769;0.044;82.99;23.0;1.778;1579.058;0.0;7.3;528.0;-0.9;0.0;2.583;0.0;0.0;0.0;8.877;95.076;114.42;0.0;1.0;3.0;207.765;0.0;0.0;203.782;8.8;30.0;41.107;0.0;easy
0.0;104.0;5.6;4610.0;17.784;0.997;1500.0;117.0;73.0;0.0;232.932;0.159;81.63;279.0;1.778;1664.563;0.0;6.6;1757.0;4.9;1.0;11.967;0.0;0.0;0.0;23.306;15.682;77.94;0.0;1.0;27.0;150.963;0.0;0.0;143.43;13.4;166.0;14.185;1.0;intermediate
0.0;231.0;6.8;5138.0;16.69;0.999;1500.0;205.0;170.0;1.0;183.489;0.183;78.38;681.0;1.778;1677.722;0.0;7.0;3723.0;6.4;0.0;23.883;0.0;0.0;0.0;28.513;16.953;63.25;0.0;0.0;84.0;167.558;0.0;0.0;155.586;10.3;312.0;19.099;0.0;intermediate
0.0;26.0;7.6;5139.0;10.188;1.0;1500.0;26.0;39.0;1.0;172.655;0.307;76.45;160.0;1.778;1677.722;0.0;7.5;522.0;6.3;0.0;3.333;0.0;0.0;0.0;47.764;19.83;63.76;0.0;0.0;21.0;160.235;0.0;0.0;154.038;12.8;46.0;19.495;0.0;intermediate
0.0;127.0;9.3;5146.0;28.095;1.0;1500.0;78.0;66.0;1.0;187.237;0.16;66.67;267.0;1.778;1677.722;0.0;10.8;1671.0;5.3;0.0;11.833;0.0;0.0;0.0;22.547;30.402;71.71;0.0;0.0;33.0;142.01;0.0;0.0;141.025;6.9;214.0;34.377;0.0;intermediate
0.0;238.0;8.8;5151.0;23.589;1.0;1500.0;153.0;176.0;0.0;187.085;0.218;67.89;674.0;1.778;1677.722;0.0;9.2;3086.0;9.7;0.0;21.5;0.0;0.0;1.0;31.336;25.33;38.69;0.0;0.0;92.0;148.24;0.0;0.0;143.291;10.1;286.0;28.594;0.0;intermediate
0.0;23.0;6.1;5677.0;37.413;1.0;1500.0;32.0;4.0;0.0;177.453;0.105;80.21;55.0;1.778;205.556;0.0;6.3;525.0;5.7;0.0;3.283;0.0;0.0;1.0;16.681;103.758;86.74;0.0;0.0;3.0;162.029;0.0;0.0;159.228;4.3;40.0;52.392;0.0;easy
1.0;42.0;7.9;5704.0;32.741;0.997;1500.0;46.0;55.0;0.0;213.362;0.213;70.23;176.0;1.778;1677.722;0.0;9.5;825.0;3.6;0.0;4.917;0.0;0.0;0.0;35.778;34.768;81.49;0.0;0.0;26.0;170.765;0.0;0.0;167.711;12.3;62.0;23.456;0.0;easy
0.0;115.0;4.9;5708.0;40.094;0.996;1500.0;62.0;19.0;0.0;226.27;0.064;83.36;53.0;1.778;1677.722;0.0;5.9;825.0;3.2;0.0;4.517;0.0;0.0;0.0;11.715;32.007;87.92;1.0;0.0;6.0;186.962;0.0;0.0;182.361;14.8;71.0;27.578;0.0;easy
