programming:VariableDeclaration;NOUN_PHRASES_AMOUNT;FLESCH_KINCAID_GRADE;VIDEOID;VIDEO_AVERAGE_COLORFULNESS;VIDEO_AVERAGE_BRIGHTNESS;VIDEO_SIZE;PHRASES_AMOUNT;VIDEO_DIFFICULT_WORDS;programming:Array;VIDEO_AVERAGE_LIGHT_EXPOSURE;SPEECH_DISPLAY_WORDS_RATIO;FLESCH_READING_EASE;VIDEO_WORDS_COUNT;VIDEO_ASPECT_RATIO;VIDEO_DOMINANT_COLOR;programming:Interface;AUTOMATED_READABILITY_INDEX;WORD_AMOUNT;FLESCH_KINCAID_VIDEO_GRADE;UNCOMMON WORDS RATIO;programming:Inheritance;VIDEO_DURATION;programming:Encapsulation;programming:WhileLoop;UNCOMMON WORDS AMOUNT;programming:If;WORDS_PER_MINUTE_WHOLE_VIDEO;VIDEO_AVERAGE_HUE;EASY_VIDEO_READ;programming:ForLoop;programming:Object;VIDEO_PHRASES_COUNT;WORDS_PER_MINUTE;VIDEO_NOUN_PHRASES;programming:ExceptionHandling;programming:Polymorphism;WORDS_PER_MINUTE_WHOLE;AUTOMATED_VIDEO_READABILITY_INDEX;DIFFICULT_WORDS_AMOUNT;VIDEO_AVERAGE_SATURATION;programming:Class;score
0.0;43.0;7.7;1536;41.427;1.0;1404.0;57.0;71.0;0.0;177.002;0.223;76.25;258.0;1.6;1658.009;0.0;8.4;1156.0;6.3;0.266;0.0;6.8;0.0;0.0;307.0;0.0;37.903;35.543;63.76;0.0;1.0;34.0;170.792;102.0;0.0;0.0;170.27;12.9;96.0;37.802;0.0;intermediate
0.0;73.0;5.9;733;16.809;1.0;1500.0;64.0;61.0;0.0;215.329;0.828;75.5;671.0;1.778;1677.722;0.0;4.8;810.0;7.2;0.32;0.0;6.783;1.0;0.0;259.0;0.0;98.819;19.549;72.16;0.0;0.0;42.0;136.133;284.0;1.0;0.0;117.965;10.8;95.0;17.006;0.0;intermediate
0.0;104.0;5.6;4610;17.784;0.997;1500.0;117.0;73.0;0.0;232.932;0.159;81.63;279.0;1.778;1664.563;0.0;6.6;1757.0;4.9;0.268;1.0;11.967;0.0;0.0;471.0;0.0;23.306;15.682;77.94;0.0;1.0;27.0;150.963;88.0;0.0;0.0;143.43;13.4;166.0;14.185;1.0;intermediate
0.0;26.0;7.6;5139;10.188;1.0;1500.0;26.0;39.0;1.0;172.655;0.307;76.45;160.0;1.778;1677.722;0.0;7.5;522.0;6.3;0.259;0.0;3.333;0.0;0.0;135.0;0.0;47.764;19.83;63.76;0.0;0.0;21.0;160.235;60.0;0.0;0.0;154.038;12.8;46.0;19.495;0.0;intermediate
0.0;127.0;9.3;5146;28.095;1.0;1500.0;78.0;66.0;1.0;187.237;0.16;66.67;267.0;1.778;1677.722;0.0;10.8;1671.0;5.3;0.287;0.0;11.833;0.0;0.0;479.0;0.0;22.547;30.402;71.71;0.0;0.0;33.0;142.01;71.0;0.0;0.0;141.025;6.9;214.0;34.377;0.0;intermediate
0.0;238.0;8.8;5151;23.589;1.0;1500.0;153.0;176.0;0.0;187.085;0.218;67.89;674.0;1.778;1677.722;0.0;9.2;3086.0;9.7;0.268;0.0;21.5;0.0;0.0;827.0;1.0;31.336;25.33;38.69;0.0;0.0;92.0;148.24;234.0;0.0;0.0;143.291;10.1;286.0;28.594;0.0;intermediate
0.0;75.0;9.0;5330;20.684;0.994;1500.0;37.0;44.0;0.0;241.572;0.186;67.38;143.0;1.778;1677.722;0.0;9.8;767.0;8.2;0.353;1.0;5.317;0.0;0.0;271.0;0.0;26.827;18.724;47.96;0.0;0.0;22.0;152.779;60.0;0.0;0.0;136.01;19.5;88.0;9.845;0.0;easy
1.0;21.0;5.4;5672;39.399;1.0;1500.0;25.0;5.0;0.0;196.949;0.185;82.14;67.0;1.778;205.556;0.0;5.0;363.0;-1.0;0.339;0.0;2.317;0.0;0.0;123.0;0.0;28.838;111.745;125.55;0.0;1.0;5.0;162.007;22.0;0.0;0.0;156.671;2.2;41.0;51.995;0.0;easy
0.0;34.0;6.6;5679;40.759;1.0;1500.0;28.0;6.0;0.0;201.984;0.071;78.99;35.0;1.778;205.556;0.0;5.3;494.0;2.0;0.314;0.0;3.383;0.0;1.0;155.0;0.0;10.337;97.302;96.38;1.0;0.0;4.0;150.454;11.0;0.0;0.0;148.258;8.0;42.0;48.668;0.0;easy
0.0;38.0;8.6;5680;39.235;1.0;1500.0;21.0;7.0;0.0;212.168;0.092;68.5;38.0;1.778;205.556;0.0;8.7;412.0;10.7;0.296;0.0;2.283;0.0;1.0;122.0;0.0;16.6;100.209;52.19;1.0;0.0;2.0;183.71;11.0;0.0;0.0;181.726;10.0;48.0;40.853;0.0;easy
0.0;12.0;9.4;3161;0.452;1.0;1500.0;11.0;8.0;0.0;238.404;0.099;55.64;17.0;1.778;1677.722;0.0;9.5;172.0;12.3;0.308;0.0;1.433;0.0;0.0;53.0;1.0;11.832;0.492;37.3;0.0;0.0;1.0;130.25;5.0;0.0;0.0;118.316;15.9;34.0;0.137;0.0;easy
